[2024-02-03 18:09:32.686] [info]  [InstalledAddonsProgressLogger] {"addonId":695153,"progress":100,"status":"Deleting temporary folder..."}
[2024-02-03 18:09:32.687] [info]  [InstalledAddonsProgressLogger] {"addonId":695153,"progress":1,"status":"Deleting temporary folder..."}
[2024-02-03 18:09:32.707] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":13,"status":"Downloading..."}
[2024-02-03 18:09:32.707] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":33,"status":"Downloading..."}
[2024-02-03 18:09:32.753] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":33,"status":"Unzipping..."}
[2024-02-03 18:09:32.774] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":33,"status":"Copying Files..."}
[2024-02-03 18:09:32.777] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":36,"status":"Copying file 3 of 58"}
[2024-02-03 18:09:32.778] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":39,"status":"Copying file 6 of 58"}
[2024-02-03 18:09:32.787] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":43,"status":"Copying file 9 of 58"}
[2024-02-03 18:09:32.787] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":46,"status":"Copying file 12 of 58"}
[2024-02-03 18:09:32.787] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":49,"status":"Copying file 15 of 58"}
[2024-02-03 18:09:32.788] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":53,"status":"Copying file 18 of 58"}
[2024-02-03 18:09:32.788] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":57,"status":"Copying file 21 of 58"}
[2024-02-03 18:09:32.788] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":60,"status":"Copying file 24 of 58"}
[2024-02-03 18:09:32.789] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":63,"status":"Copying file 27 of 58"}
[2024-02-03 18:09:32.789] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":67,"status":"Copying file 30 of 58"}
[2024-02-03 18:09:32.789] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":70,"status":"Copying file 33 of 58"}
[2024-02-03 18:09:32.789] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":74,"status":"Copying file 36 of 58"}
[2024-02-03 18:09:32.790] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":77,"status":"Copying file 39 of 58"}
[2024-02-03 18:09:32.790] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":81,"status":"Copying file 42 of 58"}
[2024-02-03 18:09:32.790] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":84,"status":"Copying file 45 of 58"}
[2024-02-03 18:09:32.791] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":87,"status":"Copying file 48 of 58"}
[2024-02-03 18:09:32.791] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":91,"status":"Copying file 51 of 58"}
[2024-02-03 18:09:32.791] [info]  [InstalledAddonsProgressLogger] {"addonId":646134,"progress":95,"status":"Copying file 54 of 58"}
